Sample	Title	Tissue	Ecotype	Genotype	Treatment	Project	TotalReads	UniqelyMappedRate	Unnamed: 9
GSM1443117	p4p5_1h_lbl replicate 1	seedlings	Col-0	pif4-101pif5-1	low blue	PRJNA255977	25638398	0.7411	
GSM1443119	p4p5_1h_wl replicate 1	seedlings	Col-0	pif4-101pif5-1	white light	PRJNA255977	41518444	0.7625	
GSM1443121	col_6h_lbl replicate 1	seedlings	Col-0	wild type	low blue-light 6h	PRJNA255977	28311479	0.8339	
GSM1443123	col_6h_wl replicate 1	seedlings	Col-0	wild type	Mock	PRJNA255977	32387188	0.8209	
GSM1443125	p4p5_6h_lbl replicate 1	seedlings	Col-0	pif4-101pif5-1	low blue	PRJNA255977	21924440	0.8329	
GSM1443127	p4p5_6h_wl replicate 1	seedlings	Col-0	pif4-101pif5-1	white light	PRJNA255977	25596023	0.7905	
GSM1443129	col_24h_lbl replicate 1	seedlings	Col-0	wild type	low blue-light 24h	PRJNA255977	26519218	0.8152	
GSM1443131	col_24h_wl replicate 1	seedlings	Col-0	wild type	Mock	PRJNA255977	26863105	0.8074	
GSM1443133	p4p5_24h_lbl replicate 1	seedlings	Col-0	pif4-101pif5-1	low blue	PRJNA255977	24578180	0.8171	
GSM1443135	p4p5_24h_wl replicate 1	seedlings	Col-0	pif4-101pif5-1	white light	PRJNA255977	24387367	0.8201	
GSM1444314	wHyp0h replicate-1	hypocotyl	Col-0	wild type	Mock	PRJNA256037	22255406	0.8912	
GSM1444316	wHyp1h replicate-1	hypocotyl	Col-0	wild type	high R:HR_1h	PRJNA256037	20665418	0.8913	
GSM1444318	wHyp2h replicate-1	hypocotyl	Col-0	wild type	high R:HR_2h	PRJNA256037	23080864	0.8939	
GSM1444320	wHyp30m replicate-1	hypocotyl	Col-0	wild type	high R:HR_0.5h	PRJNA256037	22916902	0.887	
GSM1444322	wHyp3h replicate-1	hypocotyl	Col-0	wild type	high R:HR_3h	PRJNA256037	27178194	0.8994	
GSM1444324	wHyp4h replicate-1	hypocotyl	Col-0	wild type	high R:HR_4h	PRJNA256037	25062127	0.8821	
GSM1444326	wHyp7h replicate-1	hypocotyl	Col-0	wild type	high R:HR_7h	PRJNA256037	26171115	0.8951	
GSM1444328	wCot0h replicate-1	cotyledon	Col-0	wild type	Mock	PRJNA256037	24478899	0.8616	
GSM1444330	wCot1h replicate-1	cotyledon	Col-0	wild type	high R:HR_1h	PRJNA256037	22168810	0.8705	
GSM1444332	wCot2h replicate-1	cotyledon	Col-0	wild type	high R:HR_2h	PRJNA256037	29528653	0.8645	
GSM1444334	wCot30m replicate-1	cotyledon	Col-0	wild type	high R:HR_0.5h	PRJNA256037	33897584	0.8611	
GSM1444336	wCot3h replicate-1	cotyledon	Col-0	wild type	high R:HR_3h	PRJNA256037	24122242	0.8654	
GSM1444338	wCot4h replicate-1	cotyledon	Col-0	wild type	high R:HR_4h	PRJNA256037	28916609	0.8524	
GSM1444340	wCot7h replicate-1	cotyledon	Col-0	wild type	high R:HR_7h	PRJNA256037	25037465	0.8643	
GSM1444342	sHyp1h replicate-1	hypocotyl	Col-0	wild type	low R:HR_1h	PRJNA256037	24954174	0.8882	
GSM1444344	sHyp2h replicate-1	hypocotyl	Col-0	wild type	low R:HR_2h	PRJNA256037	23663748	0.8131	
GSM1444346	sHyp30m replicate-1	hypocotyl	Col-0	wild type	low R:HR_0.5h	PRJNA256037	20288910	0.8549	
GSM1444348	sHyp3h replicate-1	hypocotyl	Col-0	wild type	low R:HR_3h	PRJNA256037	22869893	0.8757	
GSM1444350	sHyp4h replicate-1	hypocotyl	Col-0	wild type	low R:HR_4h	PRJNA256037	26629830	0.8819	
GSM1444352	sHyp7h replicate-1	hypocotyl	Col-0	wild type	low R:HR_7h	PRJNA256037	23957206	0.8567	
GSM1444354	sCot1h replicate-1	cotyledon	Col-0	wild type	low R:HR_1h	PRJNA256037	25348163	0.8645	
GSM1444356	sCot2h replicate-1	cotyledon	Col-0	wild type	low R:HR_2h	PRJNA256037	27210263	0.8512	
GSM1444358	sCot30m replicate-1	cotyledon	Col-0	wild type	low R:HR_0.5h	PRJNA256037	26877631	0.8579	
GSM1444360	sCot3h replicate-1	cotyledon	Col-0	wild type	low R:HR_3h	PRJNA256037	26203029	0.8599	
GSM1444362	sCot4h replicate-1	cotyledon	Col-0	wild type	low R:HR_4h	PRJNA256037	29320116	0.834	
GSM1444364	sCot7h replicate-1	cotyledon	Col-0	wild type	low R:HR_7h	PRJNA256037	30202696	0.8521	
GSM1444366	pif7_sCot3h replicate-1	cotyledon	Col-0	pif7-1	--	PRJNA256037	32459108	0.8403	
GSM1444368	pif7_sHyp3h replicate-1	hypocotyl	Col-0	pif7-1	--	PRJNA256037	26192203	0.8032	
GSM1444370	pif7_wCot3h replicate-1	cotyledon	Col-0	pif7-1	--	PRJNA256037	36970913	0.8127	
GSM1444372	pif7_wHyp3h replicate-1	hypocotyl	Col-0	pif7-1	--	PRJNA256037	20552804	0.7981	
GSM1444374	sav3_sCot3h replicate-1	cotyledon	Col-0	sav3-2	--	PRJNA256037	30396640	0.8111	
GSM1444377	sav3_sHyp3h replicate-1	hypocotyl	Col-0	sav3-2	--	PRJNA256037	19596402	0.8267	
GSM1444380	sav3_wCot3h replicate-1	cotyledon	Col-0	sav3-2	--	PRJNA256037	30318169	0.7958	
GSM1444383	sav3_wHyp3h replicate-1	hypocotyl	Col-0	sav3-2	--	PRJNA256037	23296169	0.8417	
GSM1446188	CNT1 rep1	seedlings	Col-0	35S	--	PRJNA256168	31104400	0.8801	
GSM1446190	CNT1-G283E rep1	seedlings	Col-0	35S	--	PRJNA256168	29520986	0.8892	
GSM1477529	WT Col rep 2, 1	whole plant	Col-0	wild type	--	PRJNA258161	26950636	0.889	
GSM1477531	WT Col rep 3,1	whole plant	Col-0	wild type	--	PRJNA258161	13605597	0.9008	
GSM1477533	lsm4 rep 1,1	whole plant	Col-0	lsm4 mutant	--	PRJNA258161	19060681	0.8616	
GSM1477535	lsm4 rep 2,1	whole plant	Col-0	lsm4 mutant	--	PRJNA258161	16529056	0.9042	
GSM1477537	lsm4 rep 3,1	whole plant	Col-0	lsm4 mutant	--	PRJNA258161	17966543	0.9105	
GSM1489633	Col_D-2	seedlings	Col-0	wild type	Mock	PRJNA259643	34684577	0.8302	
GSM1489635	Col_DL6h-1	seedlings	Col-0	wild type	switch dark to light 6h	PRJNA259643	24843825	0.8754	
GSM1491393	Contr-1	shoot	Col-0	--	Mock	PRJNA259680	28328558	0.8729	
GSM1491396	HL20-1	shoot	Col-0	--	light stress 20s	PRJNA259680	26556144	0.872	
GSM1491399	HL60-1	shoot	Col-0	--	light stress 60s	PRJNA259680	19940490	0.8697	
GSM1496098	Col15GC1	seed	Col-0	--	cold 15 cotyledon	PRJNA260171	44251329	0.8747	
GSM1496101	Col20GC1	seed	Col-0	--	Mock	PRJNA260171	47936727	0.8723	
GSM1501691	WT_replicat 1	stem	Col-0	wild type	--	PRJNA260678	39103158	0.9169	
GSM1501693	mol1_replicat 1	stem	Col-0	mol1-1 mutant	--	PRJNA260678	47386087	0.9168	
GSM1507912	Col-0 ctrl rep1	rosette leaf	Col-0	Col-0	control	PRJNA261430	21497045	0.8905	
GSM1507915	Col-0 O3 rep1	rosette leaf	Col-0	Col-0	350 ppb ozone exposure Hor 2hr	PRJNA261430	27906929	0.8963	
GSM1507947	WT shoots replicate 1	shoot	Col-0	wild type	--	PRJNA261433	18359355	0.7289	
GSM1507951	WT inflorescences replicate 2	inflorescence	Col-0	Wild Type	--	PRJNA261433	24462060	0.7616	
GSM1507954	WT siliques replicate 2	siliques	Col-0	wild type	--	PRJNA261433	23648350	0.7306	
GSM1507956	clf28 roots replicate 1	root	Col-0	clf-28 mutant	--	PRJNA261433	20978975	0.8038	
GSM1507959	clf28 shoots replicate 1	shoot	Col-0	clf-28 mutant	--	PRJNA261433	20933518	0.7885	
GSM1507962	clf28 inflorescences replicate 1	inflorescence	Col-0	clf-28 mutant	--	PRJNA261433	17583028	0.8216	
GSM1507965	clf28 siliques replicate 1	siliques	Col-0	clf-28 mutant	--	PRJNA261433	18037908	0.7916	
GSM1518600	WT Col rep 1	whole plant	Col-0	Wild type	--	PRJNA262970	15691648	0.8948	
GSM1518603	prmt5 mutant rep 1	whole plant	Col-0	prmt5 mutant	--	PRJNA262970	17220557	0.8813	
GSM1518606	prmt4a;4b mutant rep 1	whole plant	Col-0	prmt4a;4b double mutant	--	PRJNA262970	15369860	0.8614	
GSM1527628	mRNA-seq_Col_Rep1	seedling shoot	Col-0	--	--	PRJNA264397	25353362	0.9362	
GSM1530033	mRNA-seq_Col_clf_Rep1	seedling shoot	Col-0	clf	--	PRJNA264544	15644463	0.9391	
GSM1546538	WT_mock_R1	apical shoot meristem	Col-0	--	Mock	PRJNA267558	20402054	0.848	
GSM1546540	WT_zeb_R1	apical shoot meristem	Col-0	--	zebularine	PRJNA267558	15148825	0.8524	
GSM1546542	WT_MMC_R1	apical shoot meristem	Col-0	--	MMC	PRJNA267558	17829167	0.8449	
GSM1546544	atr_mock_R1	apical shoot meristem	Col-0	--	--	PRJNA267558	15888325	0.8365	
GSM1546546	atr_zeb_R1	apical shoot meristem	Col-0	--	--	PRJNA267558	11438138	0.8398	
GSM1546548	atr_MMC_R1	apical shoot meristem	Col-0	--	--	PRJNA267558	15559038	0.8472	
GSM1546550	WT_mock_5d_R1	apical shoot meristem	Col-0	--	Mock	PRJNA267558	13517349	0.8333	
GSM1546552	WT_zeb_5d_R1	apical shoot meristem	Col-0	--	zebularine 5day	PRJNA267558	11938166	0.8354	
GSM1548122	WT Col rep 1	whole plant	Col-0	Wild type	--	PRJNA267682	14103699	0.9076	
GSM1548125	gemin2 mutant rep 1	whole plant	Col-0	gemin2 mutant	--	PRJNA267682	15493618	0.9026	
GSM1548128	WT Col control rep 1	whole plant	Col-0	Wild type	Mock	PRJNA267681	11002187	0.8743	
GSM1548131	gemin2 mutant control rep 1	whole plant	Col-0	gemin2 mutant	--	PRJNA267681	15099941	0.8817	
GSM1548134	WT Col 1h rep 1	whole plant	Col-0	Wild type	cold10 1h	PRJNA267681	12717709	0.8939	
GSM1548137	gemin2 mutant 1h rep 1	whole plant	Col-0	gemin2 mutant	--	PRJNA267681	28227307	0.8989	
GSM1548140	WT Col 24h rep 1	whole plant	Col-0	Wild type	cold10 24h	PRJNA267681	10588213	0.8838	
GSM1548143	gemin2 mutant 24h rep 1	whole plant	Col-0	gemin2 mutant	--	PRJNA267681	11025989	0.891	
GSM1550354	thInflo rep1	inflorescence	Col-0	wild type	--	PRJNA267853	6766551	0.9313	
GSM1570244	RNA-seq_control_1	rosette leaf	Col-0	--	Mock	PRJNA270886	13587207	0.8969	
GSM1570246	RNA-seq_COR_1	rosette leaf	Col-0	--	Coronatine	PRJNA270886	12500376	0.8973	
GSM1572738	ACS rep1	shoot	Col-0	--	Mock	PRJNA271131	7251500	0.7295	
GSM1572746	ALS rep1	shoot	Col-0	--	low MgCl2	PRJNA271131	7053963	0.83	
GSM1572750	ECS rep1	shoot	Col-0	--	high CO2	PRJNA271131	7328717	0.7579	
GSM1572758	ELS rep1	shoot	Col-0	--	low MgCl2 + high CO2	PRJNA271131	8579532	0.7227	
GSM1573847	Low CO2 Rep 2	leaves	Col-0	Wild type	Low CO2	PRJNA271284	10984590	0.7149	
GSM1576088	35S_0h_rep1	root	Col-0	--	--	PRJNA271499	37660883	0.8672	
GSM1576090	35S_3h_rep1	root	Col-0	--	--	PRJNA271499	26840431	0.8357	
GSM1576092	35S_8h_rep1	root	Col-0	--	--	PRJNA271499	33124168	0.8619	
GSM1576094	pBRN2_0h_rep1	root	Col-0	--	--	PRJNA271499	42149650	0.7717	
GSM1576096	pBRN2_3h_rep1	root	Col-0	--	--	PRJNA271499	39622923	0.7616	
GSM1576098	pBRN2_8h_rep1	root	Col-0	--	--	PRJNA271499	38568447	0.7793	
GSM1576100	pGL2_0h_rep1	root	Col-0	--	--	PRJNA271499	37640099	0.8154	
GSM1576102	pGL2_3h_rep1	root	Col-0	--	--	PRJNA271499	34384550	0.8157	
GSM1576104	pGL2_8h_rep1	root	Col-0	--	--	PRJNA271499	31165104	0.8656	
GSM1576106	pSCR_0h_rep1	root	Col-0	--	--	PRJNA271499	23981467	0.8684	
GSM1576108	pSCR_3h_rep1	root	Col-0	--	--	PRJNA271499	29034397	0.8709	
GSM1576110	pSCR_8h_rep1	root	Col-0	--	--	PRJNA271499	41651471	0.8718	
GSM1576112	pSHR_0h_rep1	root	Col-0	--	--	PRJNA271499	35398744	0.7837	
GSM1576114	pSHR_3h_rep1	root	Col-0	--	--	PRJNA271499	37462016	0.779	
GSM1576116	pSHR_8h_rep1	root	Col-0	--	--	PRJNA271499	36054197	0.7854	
GSM1585887	WT_mock_rep1	whole plant	Col-0	wild type	mock	PRJNA272719	7379945	0.8968	
GSM1585890	WT_ABA_rep1	whole plant	Col-0	wild type	ABA	PRJNA272719	16555739	0.9275	
GSM1585893	ros1-3_mock_rep1	whole plant	Col-0	ros1-3	mock	PRJNA272719	8134575	0.8967	
GSM1585896	ros1-3_ABA_rep1	whole plant	Col-0	ros1-3	ABA	PRJNA272719	7988876	0.9036	
GSM1585899	ros1-4_mock_rep1	whole plant	Col-0	ros1-4	mock	PRJNA272719	8760931	0.937	
GSM1585902	ros1-4_ABA_rep1	whole plant	Col-0	ros1-4	ABA	PRJNA272719	13166085	0.9449	
GSM1591713	Cao-1	rosette leaf	Col-0	cao mutant	--	PRJNA273631	28675398	0.8757	
GSM1603462	WT rep1	seedlings	Col-0	wild type	--	PRJNA274783	29411066	0.9338	
GSM1603465	NSRab mutant rep1	seedlings	Col-0	NSRa/NSRb	--	PRJNA274783	33462328	0.9299	
GSM1603932	WT_mock_1	seedlings	Col-0	--	Mock	PRJNA274888	27048428	0.9249	
GSM1603933	WT_ABA_1	seedlings	Col-0	--	ABA	PRJNA274888	23670828	0.9169	
GSM1603934	WT_PA_1	seedlings	Col-0	--	PA	PRJNA274888	32383837	0.9161	
GSM1603935	WT_DPA_1	seedlings	Col-0	--	DPA	PRJNA274888	28004916	0.923	
GSM1603946	coi1-16 ein2 sid2 ctrl rep1	rosette leaf	Col-0	coi1-16 ein2 sid2	Mock	PRJNA274887	26108053	0.8889	
GSM1603958	tga2 tga5 tga6 ctrl rep1	rosette leaf	Col-0	tga2 tga5 tga6	Mock	PRJNA274887	22331167	0.9242	
GSM1603961	tga2 tga5 tga6 ozone rep1	rosette leaf	Col-0	tga2 tga5 tga6	ozone	PRJNA274887	22320808	0.9075	
GSM1617429	Arabidopsis_RNA_rep1	inflorescence	Col-0	--	--	PRJNA276134	6686816	0.8466	
GSM1618751	WT mock rep 1	leaves	Col-0	wild type	Mock	PRJNA276444	30108991	0.8639	
GSM1618754	WT Bc 14h rep 1	leaves	Col-0	wild type	Botrytis cinerea 14hpi	PRJNA276444	29844673	0.8373	
GSM1618757	wrky33 mock rep 1	leaves	Col-0	wrky33 mutant	Mock	PRJNA276444	32983807	0.8872	
GSM1618760	wrky33 Bc 14h rep 1	leaves	Col-0	wrky33 mutant	Botrytis cinerea 14hpi	PRJNA276444	29049466	0.7382	
GSM1627450	WT Rep1	seedlings	Col-0	wild type	--	PRJNA277695	4818258	0.9413	
GSM1627453	athb1-1 Rep1	seedlings	Col-0	athb1-1	--	PRJNA277695	5652897	0.9419	
GSM1631195	WTck1	seedlings	Col-0	wild type	Mock	PRJNA277840	20551329	0.9566	
GSM1631198	WTab1	seedlings	Col-0	wild type	ABA	PRJNA277840	23072134	0.9641	
GSM1631201	44ck1	seedlings	Col-0	rbm25-1	Mock	PRJNA277840	18980687	0.9505	
GSM1631204	44ab1	seedlings	Col-0	rbm25-1	ABA	PRJNA277840	21879445	0.9587	
GSM1655653	RNA-seq_29d-1	leaf mesophyll	Col-0	--	--	PRJNA280870	15165800	0.8204	
GSM1655657	RNA-seq_35d-2	leaf mesophyll	Col-0	--	--	PRJNA280870	18587566	0.8177	
GSM1655659	RNA-seq_42d-1	leaf mesophyll	Col-0	--	--	PRJNA280870	15463953	0.8153	
GSM1655663	RNA-seq_57d-2	leaf mesophyll	Col-0	--	--	PRJNA280870	18587566	0.8177	
GSM1659611	0h_ivd_1	rosette leaf	Col-0	ivd1-2	dark 0day	PRJNA281364	43651959	0.8721	
GSM1659613	0h_wt_1	rosette leaf	Col-0	CS60000	dark 0day	PRJNA281364	35364003	0.8668	
GSM1659615	D1_hml_1	rosette leaf	Col-0	hml1-2	dark 1day	PRJNA281364	37391820	0.8782	
GSM1659617	D1_ivd_1	rosette leaf	Col-0	ivd1-2	dark 1day	PRJNA281364	42611364	0.8623	
GSM1659619	D1_wt_1	rosette leaf	Col-0	CS60000	dark 1day	PRJNA281364	60056580	0.8757	
GSM1659621	D2_hml_1	rosette leaf	Col-0	hml1-2	dark 2day	PRJNA281364	41511885	0.8865	
GSM1659623	D2_ivd_1	rosette leaf	Col-0	ivd1-2	dark 2day	PRJNA281364	25124458	0.8896	
GSM1659625	D2_wt_1	rosette leaf	Col-0	CS60000	dark 2day	PRJNA281364	30099100	0.8469	
GSM1659627	D3_hml_1	rosette leaf	Col-0	hml1-2	dark 3day	PRJNA281364	48635404	0.8996	
GSM1659631	D3_wt_1	rosette leaf	Col-0	CS60000	dark 3day	PRJNA281364	30852988	0.879	
GSM1659633	D6h_hml_1	rosette leaf	Col-0	hml1-2	dark 6h	PRJNA281364	39260511	0.8747	
GSM1659635	D6h_ivd_1	rosette leaf	Col-0	ivd1-2	dark 6h	PRJNA281364	36067103	0.8769	
GSM1659637	D6h_wt_1	rosette leaf	Col-0	CS60000	dark 6h	PRJNA281364	38428216	0.8745	
GSM1659639	L3_hml_1	rosette leaf	Col-0	hml1-2	kept in 8h light/16h dark Hor 72h	PRJNA281364	37616244	0.8866	
GSM1659641	L3_ivd_1	rosette leaf	Col-0	ivd1-2	kept in 8h light/16h dark Hor 72h	PRJNA281364	41022614	0.8795	
GSM1659643	L3_wt_1	rosette leaf	Col-0	CS60000	kept in 8h light/16h dark Hor 72h	PRJNA281364	48072417	0.8674	
GSM1662397	Wild-type_r1	embryo	Col-0	Col-0	--	PRJNA281702	48640170	0.7727	
GSM1662399	clf-28_r1	embryo	Col-0	clf-28	--	PRJNA281702	39096872	0.8367	
GSM1675602	dark control rep 1	whole plant	Col-0	--	Mock	PRJNA283114	12011875	0.9128	
GSM1675605	light pulse rep 1	whole plant	Col-0	--	light pulse	PRJNA283114	11494706	0.8928	
GSM1679002	Col-0 Mock WL 1	seedlings	Col-0	wild type	Mock	PRJNA283396	15546867	0.9409	
GSM1679003	Col-0 DEX WL 1	seedlings	Col-0	wild type	DEX	PRJNA283396	16194151	0.9503	
GSM1679004	GR:KAN1 Mock WL 1	seedlings	Col-0	35S	--	PRJNA283396	18230274	0.9433	
GSM1679005	GR:KAN1 DEX WL 1	seedlings	Col-0	35S	--	PRJNA283396	17617030	0.9488	
GSM1679006	Col-0 Mock Shade 1	seedlings	Col-0	wild type	Shade	PRJNA283396	18620327	0.9409	
GSM1679007	Col-0 DEX Shade 1	seedlings	Col-0	wild type	DEX shade	PRJNA283396	18975596	0.9235	
GSM1679008	GR:KAN1 Mock Shade 1	seedlings	Col-0	35S	--	PRJNA283396	20891864	0.9361	
GSM1679009	GR:KAN1 DEX Shade 1	seedlings	Col-0	35S	--	PRJNA283396	18132081	0.9471	
GSM1692579	At_H6R48_R1	rosette leaf	Col-0	--	heat6hrecovery48h	PRJNA284487	14346675	0.7064	
GSM1694254	Cambium stem soc1ful	stem	Col-0	soc1-ful	--	PRJNA284739	51306570	0.9116	
GSM1695576	At_rosette_R1	rosette leaf	Col-0	--	--	PRJNA284922	21213873	0.7979	
GSM1717001	plusP06mock_1	root	Col-0	--	Mock	PRJNA287627	21940671	0.7536	
GSM1717004	plusP10mock_1	root	Col-0	--	Mock	PRJNA287627	22428599	0.878	
GSM1717007	plusP16mock_1	root	Col-0	--	Mock	PRJNA287627	21426222	0.8469	
GSM1717010	plusP24mock_1	root	Col-0	--	Mock	PRJNA287627	34042395	0.836	
GSM1717013	plusP06Ct_1	root	Col-0	--	Colletotrichum toHieldiae 6dpi	PRJNA287627	26300725	0.935	
GSM1717016	plusP10Ct_1	root	Col-0	--	Colletotrichum toHieldiae 10dpi	PRJNA287627	28915226	0.8822	
GSM1717019	plusP16Ct_1	root	Col-0	--	Colletotrichum toHieldiae 16dpi	PRJNA287627	29969823	0.7204	
GSM1717028	minusP10mock_1	root	Col-0	--	Mock	PRJNA287627	24217016	0.8902	
GSM1717031	minusP16mock_1	root	Col-0	--	Mock	PRJNA287627	39593254	0.8819	
GSM1717034	minusP24mock_1	root	Col-0	--	Mock	PRJNA287627	26794885	0.8815	
GSM1717038	minusP06Ct_2	root	Col-0	--	Colletotrichum toHieldiae 6dpi (under low phosphate)	PRJNA287627	29475369	0.8312	
GSM1717040	minusP10Ct_1	root	Col-0	--	Colletotrichum toHieldiae 10dpi (under low phosphate)	PRJNA287627	27822765	0.8669	
GSM1717043	minusP16Ct_1	root	Col-0	--	Colletotrichum toHieldiae 16dpi (under low phosphate)	PRJNA287627	44942979	0.7556	
GSM1717046	minusP24Ct_1	root	Col-0	--	Colletotrichum toHieldiae 24dpi (under low phosphate)	PRJNA287627	40802776	0.8657	
GSM1717055	minusP10Ci_Exp2_1	root	Col-0	--	Colletotrichum incanum 10dpi (under low phosphate)	PRJNA287627	27570708	0.9064	
GSM1717058	minusP24Ci_Exp2_1	root	Col-0	--	Colletotrichum incanum 24dpi (under low phosphate)	PRJNA287627	31218120	0.9378	
GSM1723716	totalRNA6-1	leaves	Col-0	--	--	PRJNA186843	27988702	0.9485	
GSM1723717	totalRNA8-1	leaves	Col-0	--	--	PRJNA186843	25226025	0.9507	
GSM1723718	totalRNA10-1	leaves	Col-0	--	--	PRJNA186843	24833793	0.9521	
GSM1723719	totalRNA12-1	leaves	Col-0	--	--	PRJNA186843	27557119	0.9525	
GSM1723720	totalRNA14-1	leaves	Col-0	--	--	PRJNA186843	26479075	0.9519	
GSM1723721	totalRNA16-1	leaves	Col-0	--	--	PRJNA186843	29176389	0.9523	
GSM1723722	totalRNA18-1	leaves	Col-0	--	--	PRJNA186843	24271577	0.95	
GSM1723723	totalRNA20-1	leaves	Col-0	--	--	PRJNA186843	24602714	0.9463	
GSM1723724	totalRNA22-1	leaves	Col-0	--	--	PRJNA186843	20905305	0.9398	
GSM1723725	totalRNA24-1	leaves	Col-0	--	--	PRJNA186843	28063496	0.9411	
GSM1723726	totalRNA26-1	leaves	Col-0	--	--	PRJNA186843	24151881	0.9211	
GSM1723727	totalRNA28-1	leaves	Col-0	--	--	PRJNA186843	25982987	0.8982	
GSM1723728	totalRNA30-1	leaves	Col-0	--	--	PRJNA186843	21839182	0.9032	
GSM1810465	B 0h R1	seedlings	Col-0	--	Mock	PRJNA289063	47853358	0.8218	
GSM1810467	B 6hD R1	seedlings	Col-0	--	dark 6h	PRJNA289063	48103205	0.826	
GSM1810469	B 1h R1	seedlings	Col-0	--	blue 1h	PRJNA289063	76645685	0.8266	
GSM1810471	B 6h R1	seedlings	Col-0	--	blue 6h	PRJNA289063	68621967	0.8105	
GSM1810473	R 0h R1	seedlings	Col-0	--	Mock	PRJNA289063	48482770	0.8201	
GSM1810475	R 6hD R1	seedlings	Col-0	--	dark 6h	PRJNA289063	50072948	0.8078	
GSM1810477	R 1h R1	seedlings	Col-0	--	red 1h	PRJNA289063	92980894	0.7772	
GSM1810479	R 6h R1	seedlings	Col-0	--	red 6h	PRJNA289063	90652884	0.765	
GSM1810481	W 0h R1	seedlings	Col-0	--	Mock	PRJNA289063	42065394	0.7323	
GSM1810484	W 6hD R1	seedlings	Col-0	--	dark 6h	PRJNA289063	41496431	0.724	
GSM1810488	W 6h R1	seedlings	Col-0	--	white 6h	PRJNA289063	89997196	0.8629	
GSM1811230	col_en1	endodermis	Col-0	wild type	--	PRJNA289110	24763472	0.8096	
GSM1811247	col_wr1	root	Col-0	wild type	--	PRJNA289110	26971907	0.865	
GSM1811254	myb_wr1	root	Col-0	mutant (myb36-1)	--	PRJNA289110	23644976	0.8651	
GSM1834893	WT_replicate1	internode	Col-0	wild type	--	PRJNA291220	48415666	0.8421	
GSM1834896	mol1_replicate1	internode	Col-0	mol1	--	PRJNA291220	52050359	0.8508	
GSM1858952	WT rep1	seedlings	Col-0	wild type	--	PRJNA293514	29082730	0.9264	
GSM1858955	brm-1 rep1	seedlings	Col-0	brm-1	--	PRJNA293514	30451814	0.9395	
GSM1858958	ref6-1 rep1	seedlings	Col-0	ref6-1	--	PRJNA293514	25460027	0.9349	
GSM1858961	brm-1 ref6-1 rep1	seedlings	Col-0	brm-1 ref6-1	--	PRJNA293514	24671936	0.9226	
GSM1864018	seedlings	whole plant	Col-0	wild type	--	PRJNA294262	19731687	0.857	
GSM1864951	Col-control-4dpi-Rep1	root	Col-0	wild type	Mock	PRJNA294313	11876535	0.938	
GSM1864952	Col-infected-4dpi-Rep1	root	Col-0	wild type	Heterodera schachti nematodes 4dpi	PRJNA294313	11432823	0.9274	
GSM1864953	Type-A-control-4dpi-Rep1	root	Col-0	Type-A mutant	--	PRJNA294313	10924107	0.9251	
GSM1864963	Col-control-10dpi-Rep1	root	Col-0	wild type	Mock	PRJNA294313	11140040	0.9443	
GSM1864964	Col-infected-10dpi-Rep1	root	Col-0	wild type	Heterodera schachti nematodes 10dpi	PRJNA294313	11891142	0.8955	
GSM1864965	Type-A-control-10dpi-Rep1	root	Col-0	Type-A mutant	--	PRJNA294313	9761873	0.9332	
GSM1864966	Type-A-infected-10dpi-Rep1	root	Col-0	Type-A mutant	--	PRJNA294313	8269285	0.868	
GSM1912474	mRNA-seq Col Rep1	leaves	Col-0	--	--	PRJNA299198	24671699	0.9476	
GSM1921010	YFP-NEG BioRep1.TechRep1	inflorescence	Col-0	ap1; cal; pAP1::AP1:GR	--	PRJNA300452	9707895	0.7052	
GSM1921014	YFP-NEG BioRep3.TechRep1	inflorescence	Col-0	ap1; cal; pAP1::AP1:GR	--	PRJNA300452	9784062	0.7311	
GSM1921016	YFP-NEG BioRep4.TechRep1	inflorescence	Col-0	ap1; cal; pAP1::AP1:GR	--	PRJNA300452	8412806	0.7183	
GSM1921018	YFP-POS BioRep1.TechRep1	gynoecium	Col-0	ap1; cal; pAP1::AP1:GR	--	PRJNA300452	11354206	0.7505	
GSM1921020	YFP-POS BioRep2.TechRep1	gynoecium	Col-0	ap1; cal; pAP1::AP1:GR	--	PRJNA300452	8289906	0.7474	
GSM1921022	YFP-POS BioRep3.TechRep1	gynoecium	Col-0	ap1; cal; pAP1::AP1:GR	--	PRJNA300452	9655665	0.7864	
GSM1921024	NO-SORT BioRep1.TechRep1	inflorescence	Col-0	ap1; cal; pAP1::AP1:GR	--	PRJNA300452	8821410	0.7601	
GSM1921026	NO-SORT BioRep2.TechRep1	inflorescence	Col-0	ap1; cal; pAP1::AP1:GR	--	PRJNA300452	10211770	0.7581	
GSM1921028	NO-SORT BioRep3.TechRep1	inflorescence	Col-0	ap1; cal; pAP1::AP1:GR	--	PRJNA300452	10197878	0.7123	
GSM1921030	NO-SORT BioRep4.TechRep1	inflorescence	Col-0	ap1; cal; pAP1::AP1:GR	--	PRJNA300452	9433241	0.7748	
GSM1921034	ALL-SORT BioRep2.TechRep1	inflorescence	Col-0	ap1; cal; pAP1::AP1:GR	--	PRJNA300452	10088770	0.7132	
GSM1921038	ALL-SORT BioRep4.TechRep1	inflorescence	Col-0	ap1; cal; pAP1::AP1:GR	--	PRJNA300452	8671500	0.7192	
GSM1930276	7-day-old wild type rep. 1	embryo	Col-0	wild type	--	PRJNA301162	21527590	0.9058	
